H_C=70.09(A/m),B_r=234.38(mT),B_m=648.25(mT),[BH]=105.7206(J/m^3),
NO,H(A/m),B(mT),U1(mV),U2(mV)
1,0.00,234.38,0,93.75
2,28.12,277.25,28.12,110.9
3,50.00,320.25,50.00,128.1
4,78.12,363.25,78.12,145.3
5,106.20,406.25,106.2,162.5
6,140.60,441.25,140.6,176.5
7,190.60,496.00,190.6,198.4
8,240.60,535.00,240.6,214.0
9,306.20,578.00,306.2,231.2
10,353.10,609.25,353.1,243.7
11,390.60,632.75,390.6,253.1
12,418.70,648.25,418.7,259.3
13,378.10,597.50,378.1,239.0
14,337.50,570.25,337.5,228.1
15,306.20,519.50,306.2,207.8
16,271.80,488.25,271.8,195.3
17,243.70,453.00,243.7,181.2
18,218.70,402.25,218.7,160.9
19,190.60,347.50,190.6,139.0
20,165.60,281.25,165.6,112.5
21,140.60,230.45,140.6,92.18
22,115.60,148.42,115.6,59.37
23,103.10,89.83,103.1,35.93
24,90.62,23.44,90.62,9.374
25,-25.00,144.53,-25.00,57.81
26,-43.75,101.55,-43.75,40.62
27,-56.25,70.30,-56.25,28.12
28,-68.75,35.15,-68.75,14.06
